src_port,dest_port,http_method,http_status,http_resp_len,http_url_len,url_contains_script_tag,url_contains_onerror,url_contains_onload,url_contains_onclick,url_contains_onmouseover,url_contains_onfocus,url_contains_alert,url_contains_javascript,url_contains_eval,url_contains_document,url_contains_cookie,url_contains_iframe,url_contains_svg,url_contains_img,url_contains_object,url_contains_embed,http_method_GET,http_method_POST,http_method_PUT,http_method_DELETE,url_has_query_params,url_query_param_count,url_encoded_chars,url_suspicious_chars,response_2xx,response_3xx,response_4xx,response_5xx,is_malicious,attack_type,timestamp,original_url
34566,3000,GET,200,3748,37,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:25.511116+0000,/?q=<embed%20src='javascript:alert(1)'>
34576,3000,GET,200,3748,67,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:27.523153+0000,/?q=<form%20action='javascript:alert(1)'><input%20type='submit'></form>
34584,3000,GET,200,3748,29,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:38:29.537354+0000,/?q=<script>alert(1)</script>
55114,3000,GET,200,3748,32,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:31.551073+0000,/?q=<img%20src=x%20onerror=alert(1)>
55122,3000,GET,200,3748,25,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:33.564436+0000,/?q=<svg%20onload=alert(1)>
55134,3000,GET,200,3748,38,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:35.577479+0000,/?q=<iframe%20src='javascript:alert(1)'>
55144,3000,GET,200,3748,43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:37.590441+0000,/?q=<a%20href='javascript:alert(1)'>Click</a>
55158,3000,GET,200,3748,38,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:39.604324+0000,/?q=<input%20autofocus%20onfocus=alert(1)>
52350,3000,GET,200,3748,26,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:41.620475+0000,/?q=<body%20onload=alert(1)>
52360,3000,GET,200,3748,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:43.635213+0000,/?q=<details%20open%20ontoggle=alert(1)>
